Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
101,考える,かんがえる,think,"1,056",0.96,211,http://jisho.org/search/考える
102,そこ,そこ,there; then,"1,045",0.89,159,http://jisho.org/search/そこ
103,う,う,SOLICITATION,"1,038",0,N/A,http://jisho.org/search/う
104,分かる,わかる,"understand, see","1,021",0.94,58,http://jisho.org/search/分かる
105,ておる,ておる,CONTINUATION (polite),"1,017",0.63,N/A,http://jisho.org/search/ておる
106,について,について,"about, concerning, as to",941,0.65,N/A,http://jisho.org/search/について
107,それで,それで,and then; so; that is why,934,0.3,N/A,http://jisho.org/search/それで
108,入る,はいる,"enter, come in, go in",913,0.94,91,http://jisho.org/search/入る
109,作る,つくる,"make, create, cook",847,0.97,190,http://jisho.org/search/作る
110,てみる,てみる,try  .  .  .ing,816,0.97,N/A,http://jisho.org/search/てみる
111,"聞く,聴く",きく,"hear; listen; listen to, obey",811,0.97,N/A,"http://jisho.org/search/聞く,聴く"
112,そして,そして,"and, so",809,0.96,N/A,http://jisho.org/search/そして
113,てくれる,てくれる,[do something as a favor],806,0.89,N/A,http://jisho.org/search/てくれる
114,場合,ばあい,"case, occasion",801,0.95,162,http://jisho.org/search/場合
115,話,はなし,"story, talk",784,0.94,584,http://jisho.org/search/話
116,ながら,ながら,"with, over, while",781,0.98,N/A,http://jisho.org/search/ながら
117,そんな,そんな,"that, such",773,0.88,N/A,http://jisho.org/search/そんな
118,使う,つかう,"use, handle",771,0.95,191,http://jisho.org/search/使う
119,日本,"にほん,にっぽん",Japan,770,0.98,N/A,http://jisho.org/search/日本
120,風,ふう,"style, type, way, like",769,0.61,747,http://jisho.org/search/風
121,おー,おー,"Oh!, Wow!",757,0.24,N/A,http://jisho.org/search/おー
122,前,まえ,forward; front; before,752,0.91,132,http://jisho.org/search/前
123,多い,おおい,"many, much, a lot of",752,0.98,76,http://jisho.org/search/多い
124,"のではない, んではない","のではない,んではない",it is not that  .  .  .,726,0.89,N/A,"http://jisho.org/search/のではない, んではない"
125,よく,よく,"good, well; often",717,0.9,450,http://jisho.org/search/よく
126,一つ,ひとつ,one,715,0.96,1,http://jisho.org/search/一つ
127,子供,こども,child,696,0.94,108,http://jisho.org/search/子供
128,非常,ひじょう,"very, extremely",684,0.69,4970,http://jisho.org/search/非常
129,気,き,"mind, heart",681,0.88,115,http://jisho.org/search/気
130,ても,ても,even if,671,0,N/A,http://jisho.org/search/ても
131,取る,とる,"take, get; have; pass",669,0.98,224,http://jisho.org/search/取る
132,うち,うち,inside; of; before,655,0.97,N/A,http://jisho.org/search/うち
133,知る,しる,know,645,0.94,214,http://jisho.org/search/知る
134,より,より,than; from,643,0.99,400,http://jisho.org/search/より
135,それから,それから,"and then, after that, and",635,0.67,N/A,http://jisho.org/search/それから
136,うー,うー,"Woo!, Oooh!",625,0.22,N/A,http://jisho.org/search/うー
137,感じ,かんじ,"feeling, impression; atmosphere",624,0.71,3029,http://jisho.org/search/感じ
138,みたい,みたい,like,604,0.74,N/A,http://jisho.org/search/みたい
139,でも,でも,"but, however",597,0.8,N/A,http://jisho.org/search/でも
140,ここ,ここ,here,589,0.98,169,http://jisho.org/search/ここ
141,"とても, とっても","とても,とっても",very,585,0.72,N/A,"http://jisho.org/search/とても, とっても"
142,いろいろ,いろいろ,various,584,0.85,N/A,http://jisho.org/search/いろいろ
143,一,いち,one,583,0.82,2,http://jisho.org/search/一
144,そう,そう,be about to,581,0.86,59,http://jisho.org/search/そう
145,行なう,おこなう,"do, carry out, hold",581,0.77,N/A,http://jisho.org/search/行なう
146,一番,いちばん,"number one, first, most",581,0.83,215,http://jisho.org/search/一番
147,二,に,two,574,0.78,3,http://jisho.org/search/二
148,同じ,おなじ,same,571,0.99,284,http://jisho.org/search/同じ
149,まず,まず,first; anyway,569,0.9,N/A,http://jisho.org/search/まず
150,必要,ひつよう,necessary,566,0.93,911,http://jisho.org/search/必要
151,仕事,しごと,"work, job",562,0.91,161,http://jisho.org/search/仕事
152,余り,あまり,the rest,561,0.86,3295,http://jisho.org/search/余り
153,によって,によって,"by, because of; depend on, depending on",539,0.94,N/A,http://jisho.org/search/によって
154,かもしれない,かもしれない,"perhaps, maybe",538,0.89,N/A,http://jisho.org/search/かもしれない
155,僕,ぼく,I (used by male speakers),533,0.86,392,http://jisho.org/search/僕
156,皆,"みな,みんな",everyone; everything,517,0.86,5437,http://jisho.org/search/皆
