Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
109,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4345_15615.html,2312,167490,64
110,吉川 英治,Eiji Yoshikawa,1990,宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52401_49791.html,2311,189613,30
111,宮本 百合子,Yuriko Miyamoto,,婦人と文学,http://www.aozora.gr.jp/cards/000311/files/2927_9212.html,2306,126604,69
112,南方 熊楠,Kumagusu Minakata,1917,十二支考,http://www.aozora.gr.jp/cards/000093/files/2536_20184.html,2298,73041,62
113,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4340_14290.html,2298,179979,61
114,夏目 漱石,Soseki Natsume,1912,彼岸過迄,http://www.aozora.gr.jp/cards/000148/files/765_14961.html,2295,270226,44
115,吉川 英治,Eiji Yoshikawa,1931,牢獄の花嫁,http://www.aozora.gr.jp/cards/001562/files/56046_60462.html,2294,198586,29
116,国枝 史郎,Shiro Kunieda,1928,娘煙術師,http://www.aozora.gr.jp/cards/000255/files/45395_41411.html,2286,246591,33
117,森 鴎外,Ogai Mori,1910,青年,http://www.aozora.gr.jp/cards/000129/files/2522_5002.html,2285,144394,34
118,宮本 百合子,Yuriko Miyamoto,1981,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33192_17354.html,2284,152397,41
119,蒲原 有明,Ariake Kanbara,1946,夢は呼び交す,http://www.aozora.gr.jp/cards/001055/files/43739_28818.html,2282,109752,29
120,二葉亭 四迷,Shimei Futabatei,1951,浮雲,http://www.aozora.gr.jp/cards/000006/files/1869_33656.html,2282,200709,44
121,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56762_59547.html,2278,222543,35
122,国枝 史郎,Shiro Kunieda,1976,八ヶ嶽の魔神,http://www.aozora.gr.jp/cards/000255/files/3041_32480.html,2268,179151,22
123,与謝野 晶子,Akiko Yosano,1929,晶子詩篇全集,http://www.aozora.gr.jp/cards/000885/files/2557_15784.html,2266,226671,12
124,新渡戸 稲造,Inazo Nitobe,1929,自警録,http://www.aozora.gr.jp/cards/000718/files/43675_39655.html,2261,268423,51
125,ユゴー ヴィクトル,Victor Hugo,1987,レ・ミゼラブル,http://www.aozora.gr.jp/cards/001094/files/42602_25760.html,2259,216571,31
126,島崎 藤村,Toson Shimazaki,1936,夜明け前,http://www.aozora.gr.jp/cards/000158/files/1504_14585.html,2259,242209,37
